"UserID","EmailAddress","FirstName","LastName","State","Department","IsManager","DateOfBirth","HireDate","Gender"
1000001,"Paul.Lang2@company.com","Paul","Lang","NE","Marketing",0,1985-06-04,2005-12-28,"male"
1000002,"Nora.Stoffel@company.com","Nora","Stoffel","GA","Marketing",0,1998-06-01,2012-08-30,"female"
1000003,"Cathy.Meyer@company.com","Cathy","Meyer","MN","Finance",0,1991-06-03,2010-09-25,"female"
1000004,"John.McKnight@company.com","John","McKnight","PA","Finance",0,1991-06-03,2013-01-14,"male"
1000005,"Angelo.Yawn@company.com","Angelo","Yawn","TX","Finance",0,1957-01-16,2011-11-11,"male"
1000006,"Sonia.Wilson2@company.com","Sonia","Wilson","AZ","Marketing",0,1978-09-23,2009-12-24,"female"
1000007,"Michael.Edison@company.com","Michael","Edison","WI","Finance",1,1988-08-15,2015-03-26,"male"
1000008,"William.Choi@company.com","William","Choi","TX","Marketing",0,1984-01-10,2016-08-04,"male"
1000009,"Bobby.Hunt@company.com","Bobby","Hunt","AL","Marketing",0,1970-07-14,2007-01-10,"male"
1000010,"Tomas.Martinez@company.com","Tomas","Martinez","LA","Marketing",0,1984-10-27,2016-05-20,"male"
1000011,"Linda.O'Connor2@company.com","Linda","O'Connor","GA","Operations",0,1985-07-10,2014-07-14,"female"
1000012,"Toni.Newkirk@company.com","Toni","Newkirk","GA","Marketing",0,1954-05-06,2016-02-28,"female"
1000013,"Tracey.Iniguez@company.com","Tracey","Iniguez","WA","Operations",0,1983-09-22,2016-03-05,"female"
1000014,"Robert.Littlefield@company.com","Robert","Littlefield","TX","Marketing",0,1996-10-25,2012-05-09,"male"
1000015,"Danielle.Hairston@company.com","Danielle","Hairston","TX","Operations",0,1993-01-07,2012-01-18,"female"
1000016,"Jared.Henderson@company.com","Jared","Henderson","PA","Finance",0,1990-01-08,2014-03-01,"male"
1000017,"Elmer.Cassano@company.com","Elmer","Cassano","IL","Operations",1,1978-06-06,2008-03-14,"male"
1000018,"Colin.Willis@company.com","Colin","Willis","OH","Finance",0,1996-03-20,2014-05-17,"male"
1000019,"Lena.McCoy@company.com","Lena","McCoy","NY","Marketing",0,1991-06-03,2009-02-17,"female"
1000020,"Patricia.Hamada@company.com","Patricia","Hamada","AR","Marketing",0,1972-02-18,2007-05-31,"female"
1000021,"Ben.Combs@company.com","Ben","Combs","MN","Finance",0,1953-02-22,2017-05-03,"male"
1000022,"Dorothy.Fore@company.com","Dorothy","Fore","CA","Marketing",0,1977-10-29,2013-06-24,"female"
1000023,"Marshall.Ferrigno@company.com","Marshall","Ferrigno","TX","Finance",0,1984-09-21,2002-06-24,"male"
1000024,"Kris.Hunter@company.com","Kris","Hunter","OR","Finance",0,1973-06-07,2007-06-30,"male"
1000025,"Anna.Abney@company.com","Anna","Abney","CA","Finance",0,1999-04-25,2013-07-24,"female"
1000026,"Melissa.Diaz@company.com","Melissa","Diaz","NJ","Operations",0,1979-01-11,2010-06-21,"female"
1000027,"Alma.Navarro@company.com","Alma","Navarro","CA","Finance",0,1967-09-26,2014-11-15,"female"
1000028,"Ada.Matthews@company.com","Ada","Matthews","IL","Finance",0,1979-08-18,2014-01-22,"female"
1000029,"John.Grubb@company.com","John","Grubb","HI","Finance",0,1963-09-27,2008-05-12,"male"
1000030,"Marissa.Stanley@company.com","Marissa","Stanley","CA","Marketing",0,1951-04-01,2015-10-18,"female"
1000031,"Russell.Crowley@company.com","Russell","Crowley","MO","Finance",0,1995-09-19,2017-02-18,"male"
1000032,"Kenneth.Payne2@company.com","Kenneth","Payne","CA","Finance",0,1985-01-09,2017-05-12,"male"
1000033,"James.Kresge@company.com","James","Kresge","VA","Operations",0,1986-04-28,2013-05-24,"male"
1000034,"Jennifer.Ridley@company.com","Jennifer","Ridley","PA","Operations",0,1970-08-20,2016-03-24,"female"
1000035,"Matthew.Andrews@company.com","Matthew","Andrews","FL","Finance",0,1962-12-09,2012-06-08,"male"
1000036,"David.Brier@company.com","David","Brier","PA","Finance",0,1993-04-26,2007-07-26,"male"
1000037,"Henry.Macias@company.com","Henry","Macias","IA","Finance",0,2000-01-06,2014-04-06,"male"
1000038,"Jed.Hanson@company.com","Jed","Hanson","WA","Finance",0,1976-02-17,2013-08-29,"male"
1000039,"Joyce.Mitchell@company.com","Joyce","Mitchell","VA","Finance",0,1991-07-09,2010-10-20,"female"
1000040,"William.Jolly@company.com","William","Jolly","MT","Operations",0,1987-08-16,2013-06-05,"male"
1000041,"Glenn.Beasley@company.com","Glenn","Beasley","PA","Operations",0,1991-10-27,2016-11-09,"male"
1000042,"Robert.Smith19@company.com","Robert","Smith","KS","Finance",0,1999-07-07,2013-10-05,"male"
1000043,"Stephanie.Kyte@company.com","Stephanie","Kyte","NV","Marketing",0,1969-07-14,2010-09-08,"female"
1000044,"Larry.Flanagan@company.com","Larry","Flanagan","NY","Operations",0,1990-12-02,2008-08-04,"male"
1000045,"Ann.Sanchez@company.com","Ann","Sanchez","AL","Operations",1,1975-01-12,2010-03-29,"female"
1000046,"Kathy.McCord@company.com","Kathy","McCord","WA","Finance",0,1994-10-26,2015-09-18,"female"
1000047,"Stephanie.Mancuso@company.com","Stephanie","Mancuso","WI","Marketing",0,1993-04-26,2015-10-05,"female"
1000048,"Kenneth.Haney@company.com","Kenneth","Haney","WA","Operations",0,1981-12-04,2014-12-04,"male"
1000049,"Carl.Henson@company.com","Carl","Henson","CA","Marketing",0,1999-03-20,2016-06-04,"male"
1000050,"Jenna.Heath@company.com","Jenna","Heath","MD","Finance",0,1983-06-05,2011-03-07,"female"
1000051,"Teresa.Moses@company.com","Teresa","Moses","MN","Operations",0,1993-08-14,2012-04-19,"female"
1000052,"James.Kaelin@company.com","James","Kaelin","OH","Operations",0,1984-09-21,2015-07-24,"male"
1000053,"Tim.Ball@company.com","Tim","Ball","NC","Finance",1,1989-04-27,2004-10-04,"male"
1000054,"Arlene.Franks@company.com","Arlene","Franks","WA","Marketing",0,1971-05-02,2010-01-14,"female"
1000055,"Andrea.Hunter@company.com","Andrea","Hunter","TX","Finance",0,1992-03-21,2006-06-20,"female"
1000056,"Frankie.Collins@company.com","Frankie","Collins","FL","Marketing",0,1992-01-08,2007-02-08,"male"
1000057,"Richard.Belisle@company.com","Richard","Belisle","CA","Finance",0,1991-08-15,2013-09-25,"male"
1000058,"Manuel.Dickerson@company.com","Manuel","Dickerson","UT","Finance",1,1987-08-16,2004-08-21,"male"
1000059,"Brian.Delgado@company.com","Brian","Delgado","VA","Finance",0,1987-12-03,2010-04-01,"male"
1000060,"Hilda.Farrelly@company.com","Hilda","Farrelly","MA","Finance",0,1983-12-04,2014-01-14,"female"
